Codigo Hash,Cena
K0Luvn7nTSwqR0rR8xprChzFO06qDCxiTMFKJA6T,8
VimdpvyZdfj7pRL92hM1TMNbx67Vrz2xNyJm3h3T,9
lIlTvKdtjUWLa5FgozO8P2dgub-V4byVrMkrtbzE,4
C70e6Flx6bY9WW7iRXIF7xDubyp2i2n-aAAIdjpD,8
iMUub0E5MRd34D8bpVk3xs3BxzIO042J3jns9eWi,9
Mqw3btCorQ8EGqcpumh18ynCG9sAheWdX3zSW59M,5
Bbt2P5jQJUewu-XqFDFqoGsvl906LA5R45DHWSOq,4
evzc9t9r249K-4KZHLK7KN8WtLCbrpJx3DFaplpm,6
FijarZGxKn8OTZa4sBRtPNxyL-rohS0-Q28Ttk6p,8
-sKIbYosd49l5WzcJQOO6DrqIairlGn801mckpHT,4
F06jNnCSWYF6uxoNlK571LZEmwvPvAGLX6Cp0RzD,7
ndizE4169tD98emzFjxT2o2PHReG-3jBaSoM9HfS,6
Xws-dLQ7lVTmrjKJ5nrZgQLzv7HsIXYl4u9RGP-z,4
8OwwovlAAZIqa474VtP9KauvW8NQdtI01acYjAxo,10
cnFyoYub8L9C8ouwdAHWH9WDcCkr6ax-7klqoKX9,8
XKozgn39OUNt3Fb6q3L62ILkkl7CiiI7UFUiMsy4,6
3AdAO-uo1FAklTimJ6-LKhKIGveVeQlfKCD5XDPM,10
5tmVCKjR-ePrBiHO6sCYRwYWvQNZM4aWbAZCVc3y,5
XguLfLFrroROaBrqHLiQG31L1J74dqEl2geE49y3,4
s2OawWQKjFDZPIP9q7X6ixH7zvVvJdAmBOhFMAFs,6
